fld	z1	z2	z3	z4	z5	z6	z7	z8	z9	z10	z11
0.055200	0.066983	0.000000	-0.068428	0.038934	-0.103064	0.000000	-0.000000	-0.016603	-0.016729	-0.000000	-0.011658
0.056400	0.071976	-0.000000	-0.069746	0.044221	-0.105491	0.000000	-0.000000	-0.016873	-0.016432	0.000000	-0.012436
0.057600	0.076881	-0.000000	-0.071059	0.049427	-0.107779	0.000000	-0.000000	-0.017139	-0.016129	0.000000	-0.013247
0.058800	0.081684	-0.000000	-0.072368	0.054537	-0.109914	0.000000	-0.000000	-0.017404	-0.015819	0.000000	-0.014093
0.060000	0.086372	-0.000000	-0.073673	0.059539	-0.111883	0.000000	-0.000000	-0.017666	-0.015503	0.000000	-0.014974
0.061200	0.090931	-0.000000	-0.074975	0.064416	-0.113671	0.000000	-0.000000	-0.017926	-0.015181	0.000000	-0.015892
0.062400	0.095345	-0.000000	-0.076276	0.069156	-0.115263	0.000000	-0.000000	-0.018184	-0.014852	0.000000	-0.016846
0.063600	0.099600	-0.000000	-0.077575	0.073743	-0.116645	0.000000	-0.000000	-0.018442	-0.014517	0.000000	-0.017837
0.064800	0.103680	0.000000	-0.078873	0.078161	-0.117800	0.000000	-0.000000	-0.018699	-0.014177	0.000000	-0.018867
0.066000	0.107569	0.000000	-0.080172	0.082395	-0.118713	0.000000	-0.000000	-0.018955	-0.013829	0.000000	-0.019935
0.067200	0.111251	-0.000000	-0.081472	0.086427	-0.119367	0.000000	-0.000000	-0.019212	-0.013476	0.000000	-0.021043
0.068400	0.114710	0.000000	-0.082775	0.090242	-0.119745	0.000000	-0.000000	-0.019469	-0.013117	0.000000	-0.022191
0.069600	0.117927	0.000000	-0.084082	0.093822	-0.119830	0.000000	-0.000000	-0.019728	-0.012751	0.000000	-0.023380
0.070800	0.120886	-0.000000	-0.085393	0.097149	-0.119603	0.000000	-0.000000	-0.019989	-0.012379	0.000000	-0.024610
0.072000	0.123567	0.000000	-0.086710	0.100206	-0.119046	0.000000	-0.000000	-0.020253	-0.012001	0.000000	-0.025883
0.073200	0.125953	0.000000	-0.088035	0.102972	-0.118141	0.000000	-0.000000	-0.020519	-0.011617	0.000000	-0.027199
0.074400	0.128024	-0.000000	-0.089368	0.105429	-0.116867	0.000000	-0.000000	-0.020789	-0.011227	0.000000	-0.028558
0.075600	0.129760	-0.000000	-0.090712	0.107558	-0.115204	0.000000	-0.000000	-0.021065	-0.010831	0.000000	-0.029962
0.076800	0.131141	-0.000000	-0.092067	0.109338	-0.113131	0.000000	-0.000000	-0.021345	-0.010429	0.000000	-0.031411
0.078000	0.132146	-0.000000	-0.093436	0.110748	-0.110627	0.000000	-0.000000	-0.021632	-0.010021	0.000000	-0.032906
0.079200	0.132754	0.000000	-0.094820	0.111767	-0.107670	0.000000	-0.000000	-0.021925	-0.009607	0.000000	-0.034447
0.080400	0.132943	-0.000000	-0.096221	0.112372	-0.104238	0.000000	-0.000000	-0.022227	-0.009186	0.000000	-0.036035
0.081600	0.132691	0.000000	-0.097641	0.112542	-0.100307	0.000000	-0.000000	-0.022538	-0.008760	0.000000	-0.037670
0.082800	0.131974	-0.000000	-0.099082	0.112254	-0.095853	0.000000	-0.000000	-0.022858	-0.008328	0.000000	-0.039355
0.084000	0.130769	0.000000	-0.100545	0.111483	-0.090851	0.000000	-0.000000	-0.023190	-0.007891	0.000000	-0.041088
0.085200	0.129052	0.000000	-0.102034	0.110205	-0.085277	0.000000	-0.000000	-0.023533	-0.007447	0.000000	-0.042870
0.086400	0.126797	-0.000000	-0.103551	0.108396	-0.079105	0.000000	-0.000000	-0.023890	-0.006998	0.000000	-0.044703
0.087600	0.123979	-0.000000	-0.105097	0.106029	-0.072306	0.000000	-0.000000	-0.024261	-0.006542	0.000000	-0.046587
0.088800	0.120572	-0.000000	-0.106676	0.103079	-0.064855	0.000000	-0.000000	-0.024648	-0.006081	0.000000	-0.048523
0.090000	0.116548	0.000000	-0.108290	0.099518	-0.056723	0.000000	-0.000000	-0.025052	-0.005615	0.000000	-0.050510
0.091200	0.111881	0.000000	-0.109941	0.095320	-0.047881	0.000000	-0.000000	-0.025475	-0.005143	0.000000	-0.052550
0.092400	0.106542	0.000000	-0.111634	0.090454	-0.038298	0.000000	-0.000000	-0.025917	-0.004665	0.000000	-0.054644
0.093600	0.100502	0.000000	-0.113370	0.084893	-0.027945	0.000000	-0.000000	-0.026381	-0.004181	0.000000	-0.056791
0.094800	0.093731	-0.000000	-0.115153	0.078607	-0.016789	0.000000	-0.000000	-0.026867	-0.003693	0.000000	-0.058993
0.096000	0.086198	0.000000	-0.116986	0.071564	-0.004798	0.000000	0.000000	-0.027378	-0.003198	0.000000	-0.061250
0.097200	0.077872	0.000000	-0.118873	0.063734	0.008061	0.000000	0.000000	-0.027916	-0.002698	0.000000	-0.063563
0.098400	0.068721	-0.000000	-0.120817	0.055084	0.021822	0.000000	-0.000000	-0.028481	-0.002193	0.000000	-0.065932
0.099600	0.058712	0.000000	-0.122821	0.045581	0.036522	0.000000	-0.000000	-0.029077	-0.001683	0.000000	-0.068357
0.100800	0.047811	-0.000000	-0.124891	0.035191	0.052195	0.000000	-0.000000	-0.029704	-0.001167	0.000000	-0.070839
0.102000	0.035983	0.000000	-0.127029	0.023879	0.068881	0.000000	-0.000000	-0.030365	-0.000647	0.000000	-0.073379
0.103200	0.023192	-0.000000	-0.129240	0.011610	0.086615	0.000000	-0.000000	-0.031062	-0.000121	0.000000	-0.075978
0.104400	0.009403	0.000000	-0.131528	-0.001653	0.105440	0.000000	-0.000000	-0.031798	0.000410	0.000000	-0.078635
0.105600	-0.005424	0.000000	-0.133898	-0.015948	0.125394	0.000000	-0.000000	-0.032574	0.000946	0.000000	-0.081350
