fld	z1	z2	z3	z4	z5	z6	z7	z8	z9	z10	z11
0.235000	-0.046485	-0.002388	-0.023559	-0.152436	-0.628092	0.000774	-0.001197	0.112266	-0.051153	-0.000028	-0.048931
0.240000	-0.048517	-0.002386	-0.036673	-0.154072	-0.642343	0.000792	-0.001196	0.108789	-0.050688	-0.000028	-0.052702
0.245000	-0.049744	-0.002384	-0.050469	-0.154864	-0.655784	0.000809	-0.001195	0.105007	-0.050182	-0.000029	-0.056702
0.250000	-0.050192	-0.002382	-0.064945	-0.154836	-0.668347	0.000826	-0.001195	0.100923	-0.049631	-0.000029	-0.060939
0.255000	-0.049891	-0.002381	-0.080104	-0.154014	-0.679961	0.000843	-0.001194	0.096537	-0.049033	-0.000030	-0.065428
0.260000	-0.048872	-0.002379	-0.095942	-0.152430	-0.690556	0.000860	-0.001193	0.091852	-0.048385	-0.000031	-0.070179
0.265000	-0.047175	-0.002377	-0.112458	-0.150117	-0.700059	0.000877	-0.001192	0.086872	-0.047685	-0.000031	-0.075205
0.270000	-0.044838	-0.002375	-0.129649	-0.147114	-0.708397	0.000895	-0.001191	0.081600	-0.046929	-0.000032	-0.080519
0.275000	-0.041908	-0.002373	-0.147508	-0.143462	-0.715497	0.000912	-0.001190	0.076041	-0.046115	-0.000033	-0.086136
0.280000	-0.038433	-0.002371	-0.166030	-0.139207	-0.721282	0.000930	-0.001189	0.070201	-0.045239	-0.000033	-0.092070
0.285000	-0.034464	-0.002369	-0.185208	-0.134398	-0.725677	0.000947	-0.001188	0.064085	-0.044297	-0.000034	-0.098336
0.290000	-0.030059	-0.002366	-0.205031	-0.129087	-0.728606	0.000964	-0.001186	0.057700	-0.043287	-0.000035	-0.104949
0.295000	-0.025275	-0.002364	-0.225489	-0.123331	-0.729990	0.000982	-0.001185	0.051055	-0.042204	-0.000036	-0.111927
0.300000	-0.020177	-0.002362	-0.246571	-0.117187	-0.729751	0.001000	-0.001184	0.044158	-0.041044	-0.000036	-0.119286
0.305000	-0.014829	-0.002360	-0.268261	-0.110719	-0.727810	0.001017	-0.001183	0.037019	-0.039804	-0.000037	-0.127045
0.310000	-0.009302	-0.002358	-0.290545	-0.103991	-0.724088	0.001035	-0.001182	0.029648	-0.038479	-0.000038	-0.135223
0.315000	-0.003668	-0.002355	-0.313404	-0.097073	-0.718504	0.001052	-0.001181	0.022059	-0.037065	-0.000039	-0.143838
0.320000	0.001997	-0.002353	-0.336820	-0.090036	-0.710979	0.001070	-0.001180	0.014262	-0.035557	-0.000039	-0.152912
0.325000	0.007613	-0.002351	-0.360770	-0.082954	-0.701430	0.001088	-0.001178	0.006274	-0.033950	-0.000040	-0.162467
0.330000	0.013100	-0.002348	-0.385231	-0.075904	-0.689778	0.001106	-0.001177	-0.001892	-0.032239	-0.000041	-0.172523
0.335000	0.018371	-0.002346	-0.410176	-0.068966	-0.675940	0.001124	-0.001176	-0.010218	-0.030418	-0.000042	-0.183106
0.340000	0.023339	-0.002343	-0.435578	-0.062224	-0.659835	0.001142	-0.001175	-0.018687	-0.028483	-0.000043	-0.194239
0.345000	0.027912	-0.002341	-0.461406	-0.055762	-0.641383	0.001160	-0.001173	-0.027279	-0.026427	-0.000044	-0.205948
0.350000	0.031999	-0.002338	-0.487626	-0.049668	-0.620500	0.001178	-0.001172	-0.035973	-0.024244	-0.000044	-0.218259
0.355000	0.035501	-0.002335	-0.514202	-0.044032	-0.597107	0.001196	-0.001171	-0.044747	-0.021927	-0.000045	-0.231202
0.360000	0.038320	-0.002333	-0.541095	-0.038947	-0.571122	0.001214	-0.001169	-0.053577	-0.019471	-0.000046	-0.244804
0.365000	0.040355	-0.002330	-0.568265	-0.034508	-0.542466	0.001232	-0.001168	-0.062437	-0.016867	-0.000047	-0.259096
0.370000	0.041502	-0.002327	-0.595664	-0.030811	-0.511057	0.001251	-0.001167	-0.071299	-0.014110	-0.000048	-0.274111
0.375000	0.041654	-0.002324	-0.623246	-0.027956	-0.476819	0.001269	-0.001165	-0.080135	-0.011189	-0.000049	-0.289881
0.380000	0.040703	-0.002322	-0.650958	-0.026044	-0.439671	0.001287	-0.001164	-0.088912	-0.008099	-0.000050	-0.306442
0.385000	0.038537	-0.002319	-0.678746	-0.025178	-0.399538	0.001306	-0.001162	-0.097599	-0.004830	-0.000051	-0.323829
0.390000	0.035044	-0.002316	-0.706549	-0.025462	-0.356343	0.001324	-0.001161	-0.106158	-0.001374	-0.000052	-0.342080
0.395000	0.030108	-0.002313	-0.734306	-0.027004	-0.310011	0.001343	-0.001159	-0.114552	0.002279	-0.000053	-0.361236
0.400000	0.023612	-0.002310	-0.761949	-0.029911	-0.260470	0.001361	-0.001158	-0.122741	0.006138	-0.000054	-0.381338
0.405000	0.015437	-0.002307	-0.789406	-0.034292	-0.207648	0.001380	-0.001156	-0.130682	0.010214	-0.000055	-0.402430
0.410000	0.005462	-0.002304	-0.816601	-0.040260	-0.151476	0.001399	-0.001155	-0.138330	0.014517	-0.000056	-0.424556
0.415000	-0.006436	-0.002301	-0.843454	-0.047925	-0.091886	0.001417	-0.001153	-0.145636	0.019058	-0.000057	-0.447765
0.420000	-0.020382	-0.002297	-0.869878	-0.057403	-0.028814	0.001436	-0.001152	-0.152551	0.023849	-0.000058	-0.472105
0.425000	-0.036502	-0.002294	-0.895782	-0.068806	0.037804	0.001455	-0.001150	-0.159018	0.028903	-0.000059	-0.497629
0.430000	-0.054922	-0.002291	-0.921070	-0.082251	0.108026	0.001474	-0.001148	-0.164983	0.034231	-0.000060	-0.524392
0.435000	-0.075772	-0.002288	-0.945639	-0.097854	0.181909	0.001493	-0.001147	-0.170382	0.039847	-0.000062	-0.552449
0.440000	-0.099182	-0.002284	-0.969380	-0.115731	0.259507	0.001512	-0.001145	-0.175154	0.045767	-0.000063	-0.581861
0.445000	-0.125283	-0.002281	-0.992179	-0.136000	0.340868	0.001531	-0.001143	-0.179229	0.052003	-0.000064	-0.612690
0.450000	-0.154207	-0.002277	-1.013913	-0.158778	0.426038	0.001551	-0.001142	-0.182537	0.058572	-0.000065	-0.645001
0.455000	-0.186088	-0.002274	-1.034454	-0.184184	0.515058	0.001570	-0.001140	-0.185001	0.065490	-0.000066	-0.678861
0.460000	-0.221058	-0.002271	-1.053666	-0.212334	0.607965	0.001589	-0.001138	-0.186541	0.072774	-0.000067	-0.714343
0.465000	-0.259253	-0.002267	-1.071404	-0.243347	0.704791	0.001608	-0.001136	-0.187072	0.080441	-0.000069	-0.751522
0.470000	-0.300807	-0.002263	-1.087516	-0.277339	0.805561	0.001628	-0.001135	-0.186506	0.088512	-0.000070	-0.790474
0.475000	-0.345855	-0.002260	-1.101842	-0.314428	0.910295	0.001647	-0.001133	-0.184747	0.097004	-0.000071	-0.831283
0.480000	-0.394532	-0.002256	-1.114211	-0.354728	1.019009	0.001667	-0.001131	-0.181697	0.105940	-0.000072	-0.874033
0.485000	-0.446974	-0.002252	-1.124445	-0.398355	1.131709	0.001687	-0.001129	-0.177249	0.115341	-0.000074	-0.918816
0.490000	-0.503315	-0.002249	-1.132353	-0.445422	1.248395	0.001706	-0.001127	-0.171292	0.125229	-0.000075	-0.965725
0.495000	-0.563689	-0.002245	-1.137737	-0.496042	1.369061	0.001726	-0.001125	-0.163711	0.135630	-0.000076	-1.014859
0.500000	-0.628231	-0.002241	-1.140385	-0.550323	1.493689	0.001746	-0.001123	-0.154379	0.146567	-0.000077	-1.066322
